"X1558","X1567","X3B","X3B.1"
1453,1458,"5A","5A"
1453,1520,"5A","5A"
1458,1477,"5A","5A"
1461,1516,"5A","5A"
1468,1502,"5A","5A"
1560,1570,"3B","3B"
1606,1616,"2A","2A"
1609,1911,"2A","2A"
1632,1818,"4B","4B"
1673,1698,"1B","1B"
1774,1775,"1A","1A"
1439,1486,"5B","5B"
1453,1493,"5A","5A"
1503,1539,"4A","4A"
1560,1594,"3B","3B"
1673,1698,"1B","1B"
1698,1745,"1B","Teachers"
1711,1752,"1A","1A"
1723,1809,"3A","3A"
1723,1822,"3A","3A"
1757,1792,"1A","1A"
1774,1775,"1A","1A"
1802,1805,"4B","4B"
1809,1822,"3A","3A"
1428,1471,"5B","5B"
1428,1563,"5B","5B"
1428,1592,"5B","5B"
1458,1477,"5A","5A"
1603,1613,"2A","2A"
1625,1628,"2A","2A"
1757,1792,"1A","1A"
1774,1775,"1A","1A"
1805,1847,"4B","4B"
1430,1482,"5B","5B"
1558,1564,"3B","3B"
1558,1567,"3B","3B"
1564,1567,"3B","3B"
1564,1574,"3B","3B"
1567,1574,"3B","3B"
1617,1641,"2A","2A"
1723,1822,"3A","3A"
1757,1792,"1A","1A"
1767,1787,"1A","1A"
1774,1775,"1A","1A"
1809,1822,"3A","3A"
1818,1866,"4B","4B"
1428,1451,"5B","5A"
1430,1435,"5B","5B"
1430,1489,"5B","5B"
1558,1567,"3B","3B"
1567,1574,"3B","3B"
1585,1824,"5B","Teachers"
1617,1641,"2A","2A"
1625,1628,"2A","2A"
1630,1821,"4B","4B"
1757,1792,"1A","1A"
1774,1775,"1A","1A"
1803,1821,"4B","4B"
1427,1465,"5B","5B"
1431,1465,"5B","5B"
1465,1585,"5B","5B"
1477,1578,"5A","5B"
1558,1564,"3B","3B"
1558,1567,"3B","3B"
1564,1567,"3B","3B"
1564,1574,"3B","3B"
1567,1574,"3B","3B"
1567,1594,"3B","3B"
1606,1616,"2A","2A"
1632,1805,"4B","4B"
1697,1765,"1B","1B"
1711,1752,"1A","1A"
1757,1792,"1A","1A"
1774,1775,"1A","1A"
1805,1866,"4B","4B"
1835,1836,"4B","4B"
1426,1471,"5B","5B"
1427,1429,"5B","5B"
1477,1578,"5A","5B"
1625,1852,"2A","Teachers"
1697,1765,"1B","1B"
1711,1759,"1A","1A"
1723,1822,"3A","3A"
1757,1792,"1A","1A"
1774,1775,"1A","1A"
1558,1564,"3B","3B"
1564,1567,"3B","3B"
1564,1574,"3B","3B"
1567,1574,"3B","3B"
1603,1643,"2A","2A"
1604,1913,"2A","2A"
1606,1616,"2A","2A"
1613,1902,"2A","2A"
1617,1919,"2A","2A"
1630,1803,"4B","4B"
1630,1888,"4B","4B"
1641,1919,"2A","2A"
1643,1648,"2A","2A"
1697,1765,"1B","1B"
1723,1822,"3A","3A"
1757,1792,"1A","1A"
1774,1775,"1A","1A"
1852,1902,"Teachers","2A"
1911,1916,"2A","2A"
1913,1922,"2A","2A"
1426,1471,"5B","5B"
1458,1477,"5A","5A"
1458,1489,"5A","5B"
1458,1493,"5A","5A"
1458,1578,"5A","5B"
1477,1578,"5A","5B"
1558,1564,"3B","3B"
1558,1567,"3B","3B"
1564,1567,"3B","3B"
1564,1574,"3B","3B"
1567,1574,"3B","3B"
1603,1643,"2A","2A"
1603,1922,"2A","2A"
1609,1917,"2A","2A"
1617,1641,"2A","2A"
1625,1628,"2A","2A"
1625,1902,"2A","2A"
1632,1895,"4B","4B"
1643,1913,"2A","2A"
1643,1922,"2A","2A"
1723,1822,"3A","3A"
1757,1792,"1A","1A"
1774,1775,"1A","1A"
1807,1880,"4B","4B"
1818,1895,"4B","4B"
1821,1885,"4B","4B"
1885,1895,"4B","4B"
1911,1916,"2A","2A"
1913,1922,"2A","2A"
1426,1471,"5B","5B"
1458,1477,"5A","5A"
1498,1520,"5A","5A"
1558,1564,"3B","3B"
1564,1574,"3B","3B"
1606,1616,"2A","2A"
1609,1917,"2A","2A"
1625,1628,"2A","2A"
1714,1763,"3A","3A"
1723,1822,"3A","3A"
1741,1820,"3A","3A"
1757,1792,"1A","1A"
1774,1775,"1A","1A"
1831,1888,"4B","4B"
1426,1471,"5B","5B"
1477,1578,"5A","5B"
1558,1564,"3B","3B"
1558,1567,"3B","3B"
1560,1594,"3B","3B"
1564,1567,"3B","3B"
1564,1574,"3B","3B"
1567,1574,"3B","3B"
1609,1917,"2A","2A"
1625,1628,"2A","2A"
1695,1920,"1B","1B"
1697,1765,"1B","1B"
1757,1792,"1A","1A"
1774,1775,"1A","1A"
1831,1888,"4B","4B"
1888,1892,"4B","4B"
1426,1471,"5B","5B"
1477,1578,"5A","5B"
1500,1539,"4A","4A"
1625,1902,"2A","2A"
1632,1819,"4B","4B"
1663,1698,"1B","1B"
1684,1698,"1B","1B"
1698,1920,"1B","1B"
1723,1809,"3A","3A"
1757,1792,"1A","1A"
1774,1775,"1A","1A"
1809,1822,"3A","3A"
1831,1888,"4B","4B"
1426,1471,"5B","5B"
1545,1548,"4A","4A"
1545,1549,"4A","4A"
1545,1815,"4A","4A"
1548,1549,"4A","4A"
1548,1815,"4A","4A"
1625,1628,"2A","2A"
1663,1684,"1B","1B"
1663,1698,"1B","1B"
1682,1687,"1B","1B"
1723,1822,"3A","3A"
1757,1792,"1A","1A"
1774,1775,"1A","1A"
1831,1888,"4B","4B"
1426,1471,"5B","5B"
1458,1578,"5A","5B"
1545,1653,"4A","Teachers"
1613,1907,"2A","2A"
1625,1628,"2A","2A"
1656,1670,"1B","1B"
1656,1681,"1B","1B"
1666,1674,"1B","1B"
1670,1674,"1B","1B"
1681,1745,"1B","Teachers"
1684,1698,"1B","1B"
1757,1792,"1A","1A"
1774,1775,"1A","1A"
1802,1803,"4B","4B"
1831,1888,"4B","4B"
1426,1471,"5B","5B"
1500,1705,"4A","4A"
1503,1524,"4A","4A"
1560,1594,"3B","3B"
1606,1616,"2A","2A"
1613,1907,"2A","2A"
1617,1641,"2A","2A"
1625,1628,"2A","2A"
1656,1675,"1B","1B"
1663,1698,"1B","1B"
1680,1908,"1B","1B"
1711,1752,"1A","1A"
1723,1822,"3A","3A"
1757,1792,"1A","1A"
1774,1775,"1A","1A"
1831,1888,"4B","4B"
1911,1916,"2A","2A"
1913,1922,"2A","2A"
1426,1471,"5B","5B"
1504,1653,"4A","Teachers"
1539,1705,"4A","4A"
1539,1837,"4A","4A"
1560,1594,"3B","3B"
1606,1616,"2A","2A"
1661,1695,"1B","1B"
1666,1696,"1B","1B"
1682,1920,"1B","1B"
1688,1745,"1B","Teachers"
1705,1837,"4A","4A"
1714,1763,"3A","3A"
1714,1843,"3A","3A"
1723,1822,"3A","3A"
1757,1792,"1A","1A"
1774,1775,"1A","1A"
1807,1880,"4B","4B"
1809,1822,"3A","3A"
1852,1902,"Teachers","2A"
1426,1471,"5B","5B"
1532,1549,"4A","4A"
1532,1815,"4A","4A"
1539,1705,"4A","4A"
1539,1837,"4A","4A"
1617,1641,"2A","2A"
1617,1917,"2A","2A"
1641,1919,"2A","2A"
1661,1695,"1B","1B"
1666,1696,"1B","1B"
1688,1745,"1B","Teachers"
1711,1759,"1A","1A"
1757,1792,"1A","1A"
1774,1775,"1A","1A"
1911,1916,"2A","2A"
1426,1471,"5B","5B"
1532,1815,"4A","4A"
1545,1837,"4A","4A"
1606,1613,"2A","2A"
1606,1616,"2A","2A"
1661,1695,"1B","1B"
1711,1752,"1A","1A"
1723,1809,"3A","3A"
1757,1792,"1A","1A"
1774,1775,"1A","1A"
1809,1822,"3A","3A"
1426,1471,"5B","5B"
1533,1653,"4A","Teachers"
1723,1822,"3A","3A"
1757,1792,"1A","1A"
1774,1775,"1A","1A"
1911,1916,"2A","2A"
1426,1471,"5B","5B"
1525,1548,"4A","4A"
1533,1549,"4A","4A"
1545,1837,"4A","4A"
1558,1564,"3B","3B"
1558,1567,"3B","3B"
1564,1567,"3B","3B"
1564,1574,"3B","3B"
1567,1574,"3B","3B"
1617,1641,"2A","2A"
1682,1920,"1B","1B"
1711,1752,"1A","1A"
1723,1822,"3A","3A"
1757,1792,"1A","1A"
1774,1775,"1A","1A"
1805,1819,"4B","4B"
1805,1865,"4B","4B"
1911,1916,"2A","2A"
1426,1471,"5B","5B"
1525,1548,"4A","4A"
1545,1837,"4A","4A"
1617,1641,"2A","2A"
1653,1815,"Teachers","4A"
1661,1695,"1B","1B"
1663,1698,"1B","1B"
1663,1920,"1B","1B"
1723,1822,"3A","3A"
1757,1792,"1A","1A"
1774,1775,"1A","1A"
1426,1471,"5B","5B"
1504,1815,"4A","4A"
1558,1567,"3B","3B"
1567,1574,"3B","3B"
1609,1917,"2A","2A"
1617,1641,"2A","2A"
1663,1698,"1B","1B"
1714,1763,"3A","3A"
1757,1792,"1A","1A"
1774,1775,"1A","1A"
1426,1471,"5B","5B"
1439,1480,"5B","5B"
1453,1457,"5A","5A"
1504,1653,"4A","Teachers"
1504,1815,"4A","4A"
1558,1564,"3B","3B"
1558,1567,"3B","3B"
1564,1567,"3B","3B"
1564,1574,"3B","3B"
1567,1574,"3B","3B"
1606,1906,"2A","2A"
1617,1641,"2A","2A"
1625,1628,"2A","2A"
1649,1906,"2A","2A"
1663,1745,"1B","Teachers"
1680,1908,"1B","1B"
1698,1745,"1B","Teachers"
1711,1759,"1A","1A"
1741,1820,"3A","3A"
1757,1761,"1A","1A"
1757,1783,"1A","1A"
1766,1770,"1A","1A"
1774,1775,"1A","1A"
1911,1916,"2A","2A"
1426,1471,"5B","5B"
1504,1815,"4A","4A"
1558,1564,"3B","3B"
1564,1574,"3B","3B"
1606,1625,"2A","2A"
1625,1628,"2A","2A"
1625,1902,"2A","2A"
1649,1906,"2A","2A"
1682,1920,"1B","1B"
1711,1759,"1A","1A"
1714,1763,"3A","3A"
1723,1822,"3A","3A"
1761,1783,"1A","1A"
1766,1772,"1A","1A"
1768,1783,"1A","1A"
1772,1774,"1A","1A"
1426,1471,"5B","5B"
1504,1546,"4A","4A"
1504,1815,"4A","4A"
1545,1837,"4A","4A"
1558,1564,"3B","3B"
1564,1574,"3B","3B"
1603,1648,"2A","2A"
1604,1852,"2A","Teachers"
1625,1628,"2A","2A"
1625,1902,"2A","2A"
1663,1665,"1B","1B"
1666,1695,"1B","1B"
1666,1696,"1B","1B"
1680,1908,"1B","1B"
1680,1912,"1B","1B"
1711,1759,"1A","1A"
1723,1822,"3A","3A"
1852,1911,"Teachers","2A"
1907,1913,"2A","2A"
1916,1917,"2A","2A"
1426,1471,"5B","5B"
1504,1815,"4A","4A"
1545,1837,"4A","4A"
1558,1564,"3B","3B"
1558,1567,"3B","3B"
1560,1594,"3B","3B"
1564,1567,"3B","3B"
1564,1574,"3B","3B"
1567,1574,"3B","3B"
1603,1606,"2A","2A"
1603,1648,"2A","2A"
1606,1922,"2A","2A"
1609,1852,"2A","Teachers"
1609,1902,"2A","2A"
1617,1641,"2A","2A"
1617,1919,"2A","2A"
1625,1628,"2A","2A"
1661,1695,"1B","1B"
1680,1908,"1B","1B"
1711,1759,"1A","1A"
1714,1763,"3A","3A"
1723,1822,"3A","3A"
1809,1822,"3A","3A"
1831,1865,"4B","4B"
1852,1902,"Teachers","2A"
1852,1917,"Teachers","2A"
1426,1471,"5B","5B"
1504,1815,"4A","4A"
1546,1653,"4A","Teachers"
1546,1815,"4A","4A"
1558,1564,"3B","3B"
1564,1574,"3B","3B"
1606,1648,"2A","2A"
1609,1852,"2A","Teachers"
1617,1641,"2A","2A"
1628,1902,"2A","2A"
1643,1922,"2A","2A"
1661,1695,"1B","1B"
1711,1767,"1A","1A"
1723,1822,"3A","3A"
1757,1792,"1A","1A"
1770,1772,"1A","1A"
1770,1774,"1A","1A"
1852,1917,"Teachers","2A"
1907,1913,"2A","2A"
1907,1919,"2A","2A"
1913,1919,"2A","2A"
1913,1922,"2A","2A"
1426,1471,"5B","5B"
1486,1489,"5B","5B"
1504,1653,"4A","Teachers"
1504,1837,"4A","4A"
1548,1705,"4A","4A"
1558,1564,"3B","3B"
1564,1574,"3B","3B"
1603,1648,"2A","2A"
1606,1648,"2A","2A"
1613,1625,"2A","2A"
1613,1628,"2A","2A"
1613,1902,"2A","2A"
1617,1641,"2A","2A"
1617,1919,"2A","2A"
1625,1902,"2A","2A"
1625,1911,"2A","2A"
1628,1902,"2A","2A"
1641,1916,"2A","2A"
1661,1695,"1B","1B"
1663,1745,"1B","Teachers"
1665,1745,"1B","Teachers"
1723,1822,"3A","3A"
1757,1792,"1A","1A"
1767,1787,"1A","1A"
1907,1919,"2A","2A"
1426,1486,"5B","5B"
1429,1431,"5B","5B"
1435,1475,"5B","5B"
1439,1489,"5B","5B"
1451,1501,"5A","5A"
1458,1461,"5A","5A"
1458,1489,"5A","5B"
1468,1471,"5A","5B"
1468,1516,"5A","5A"
1486,1578,"5B","5B"
1498,1520,"5A","5A"
1525,1545,"4A","4A"
1545,1705,"4A","4A"
1548,1705,"4A","4A"
1558,1564,"3B","3B"
1558,1567,"3B","3B"
1564,1567,"3B","3B"
1564,1574,"3B","3B"
1603,1913,"2A","2A"
1609,1917,"2A","2A"
1617,1641,"2A","2A"
1617,1919,"2A","2A"
1643,1922,"2A","2A"
1648,1911,"2A","2A"
1653,1824,"Teachers","Teachers"
1653,1837,"Teachers","4A"
1661,1695,"1B","1B"
1711,1759,"1A","1A"
1741,1782,"3A","3A"
1741,1800,"3A","3A"
1757,1792,"1A","1A"
1907,1919,"2A","2A"
1426,1471,"5B","5B"
1427,1486,"5B","5B"
1428,1459,"5B","5A"
1428,1495,"5B","5A"
1428,1498,"5B","5A"
1428,1520,"5B","5A"
1430,1434,"5B","5B"
1430,1471,"5B","5B"
1431,1435,"5B","5B"
1431,1465,"5B","5B"
1434,1435,"5B","5B"
1434,1457,"5B","5A"
1434,1475,"5B","5B"
1435,1475,"5B","5B"
1435,1502,"5B","5A"
1451,1592,"5A","5B"
1452,1471,"5A","5B"
1452,1592,"5A","5B"
1453,1468,"5A","5A"
1457,1522,"5A","5A"
1459,1498,"5A","5A"
1459,1585,"5A","5B"
1471,1592,"5B","5B"
1489,1563,"5B","5B"
1495,1520,"5A","5A"
1495,1585,"5A","5B"
1498,1520,"5A","5A"
1501,1592,"5A","5B"
1532,1538,"4A","4A"
1533,1653,"4A","Teachers"
1545,1705,"4A","4A"
1558,1564,"3B","3B"
1564,1574,"3B","3B"
1604,1641,"2A","2A"
1609,1917,"2A","2A"
1617,1641,"2A","2A"
1625,1902,"2A","2A"
1641,1916,"2A","2A"
1643,1922,"2A","2A"
1653,1824,"Teachers","Teachers"
1661,1695,"1B","1B"
1663,1665,"1B","1B"
1663,1698,"1B","1B"
1673,1682,"1B","1B"
1714,1859,"3A","3A"
1727,1735,"3B","3B"
1772,1774,"1A","1A"
1795,1909,"3A","3A"
1907,1919,"2A","2A"
1911,1917,"2A","2A"
1426,1441,"5B","5B"
1426,1498,"5B","5A"
1428,1495,"5B","5A"
1428,1520,"5B","5A"
1430,1471,"5B","5B"
1431,1465,"5B","5B"
1434,1457,"5B","5A"
1451,1471,"5A","5B"
1452,1563,"5A","5B"
1452,1824,"5A","Teachers"
1468,1477,"5A","5A"
1468,1522,"5A","5A"
1482,1493,"5B","5A"
1489,1563,"5B","5B"
1489,1824,"5B","Teachers"
1516,1578,"5A","5B"
1522,1585,"5A","5B"
1549,1653,"4A","Teachers"
1558,1564,"3B","3B"
1564,1574,"3B","3B"
1603,1606,"2A","2A"
1603,1648,"2A","2A"
1603,1911,"2A","2A"
1613,1628,"2A","2A"
1617,1641,"2A","2A"
1617,1852,"2A","Teachers"
1617,1916,"2A","2A"
1625,1902,"2A","2A"
1643,1922,"2A","2A"
1661,1695,"1B","1B"
1663,1665,"1B","1B"
1663,1920,"1B","1B"
1666,1688,"1B","1B"
1675,1688,"1B","1B"
1688,1695,"1B","1B"
1711,1759,"1A","1A"
1746,1820,"Teachers","3A"
1757,1792,"1A","1A"
1767,1787,"1A","1A"
1820,1838,"3A","3A"
1907,1919,"2A","2A"
1907,1922,"2A","2A"
1426,1486,"5B","5B"
1426,1592,"5B","5B"
1431,1465,"5B","5B"
1437,1457,"5B","5A"
1443,1502,"5B","5A"
1451,1452,"5A","5A"
1451,1563,"5A","5B"
1452,1486,"5A","5B"
1452,1592,"5A","5B"
1459,1578,"5A","5B"
1482,1493,"5B","5A"
1498,1520,"5A","5A"
1498,1563,"5A","5B"
1500,1539,"4A","4A"
1502,1578,"5A","5B"
1503,1524,"4A","4A"
1516,1578,"5A","5B"
1520,1592,"5A","5B"
1525,1815,"4A","4A"
1558,1564,"3B","3B"
1564,1574,"3B","3B"
1604,1907,"2A","2A"
1606,1916,"2A","2A"
1613,1616,"2A","2A"
1625,1911,"2A","2A"
1666,1695,"1B","1B"
1666,1696,"1B","1B"
1675,1688,"1B","1B"
1698,1745,"1B","Teachers"
1746,1780,"Teachers","3A"
1766,1770,"1A","1A"
1782,1801,"3A","3A"
1439,1471,"5B","5B"
1451,1563,"5A","5B"
1451,1824,"5A","Teachers"
1452,1495,"5A","5A"
1452,1498,"5A","5A"
1452,1824,"5A","Teachers"
1459,1486,"5A","5B"
1459,1520,"5A","5A"
1486,1578,"5B","5B"
1495,1498,"5A","5A"
1495,1592,"5A","5B"
1504,1548,"4A","4A"
1558,1564,"3B","3B"
1558,1567,"3B","3B"
1564,1567,"3B","3B"
1564,1574,"3B","3B"
1567,1574,"3B","3B"
1609,1917,"2A","2A"
1628,1916,"2A","2A"
1663,1665,"1B","1B"
1663,1698,"1B","1B"
1666,1695,"1B","1B"
1666,1696,"1B","1B"
1711,1787,"1A","1A"
1714,1795,"3A","3A"
1722,1748,"3A","3A"
1737,1909,"3A","3A"
1738,1780,"3A","3A"
1748,1801,"3A","3A"
1782,1801,"3A","3A"
1902,1916,"2A","2A"
1426,1437,"5B","5B"
1426,1502,"5B","5A"
1443,1502,"5B","5A"
1452,1498,"5A","5A"
1452,1824,"5A","Teachers"
1459,1520,"5A","5A"
1498,1592,"5A","5B"
1498,1824,"5A","Teachers"
1545,1837,"4A","4A"
1558,1564,"3B","3B"
1560,1579,"3B","3B"
1564,1574,"3B","3B"
1606,1625,"2A","2A"
1617,1917,"2A","2A"
1628,1902,"2A","2A"
1628,1916,"2A","2A"
1643,1852,"2A","Teachers"
1663,1665,"1B","1B"
1663,1698,"1B","1B"
1663,1920,"1B","1B"
1682,1920,"1B","1B"
1711,1759,"1A","1A"
1738,1780,"3A","3A"
1746,1748,"Teachers","3A"
1774,1775,"1A","1A"
1821,1866,"4B","4B"
1880,1895,"4B","4B"
1902,1916,"2A","2A"
1917,1919,"2A","2A"
1426,1585,"5B","5B"
1437,1520,"5B","5A"
1439,1471,"5B","5B"
1441,1443,"5B","5B"
1441,1486,"5B","5B"
1441,1511,"5B","5A"
1441,1824,"5B","Teachers"
1443,1502,"5B","5A"
1452,1498,"5A","5A"
1452,1592,"5A","5B"
1459,1471,"5A","5B"
1471,1516,"5B","5A"
1489,1495,"5B","5A"
1498,1592,"5A","5B"
1511,1824,"5A","Teachers"
1558,1564,"3B","3B"
1564,1574,"3B","3B"
1585,1824,"5B","Teachers"
1609,1919,"2A","2A"
1617,1641,"2A","2A"
1625,1648,"2A","2A"
1625,1902,"2A","2A"
1628,1902,"2A","2A"
1663,1665,"1B","1B"
1737,1909,"3A","3A"
1738,1780,"3A","3A"
1752,1783,"1A","1A"
1770,1778,"1A","1A"
1821,1866,"4B","4B"
1888,1892,"4B","4B"
1908,1912,"1B","1B"
1426,1585,"5B","5B"
1426,1824,"5B","Teachers"
1428,1486,"5B","5B"
1437,1585,"5B","5B"
1437,1824,"5B","Teachers"
1439,1471,"5B","5B"
1452,1592,"5A","5B"
1471,1516,"5B","5A"
1495,1498,"5A","5A"
1558,1564,"3B","3B"
1564,1574,"3B","3B"
1585,1824,"5B","Teachers"
1603,1852,"2A","Teachers"
1604,1919,"2A","2A"
1606,1648,"2A","2A"
1613,1916,"2A","2A"
1617,1641,"2A","2A"
1625,1648,"2A","2A"
1625,1902,"2A","2A"
1641,1911,"2A","2A"
1661,1682,"1B","1B"
1663,1665,"1B","1B"
1663,1698,"1B","1B"
1663,1920,"1B","1B"
1766,1770,"1A","1A"
1774,1775,"1A","1A"
1821,1866,"4B","4B"
1852,1913,"Teachers","2A"
1888,1892,"4B","4B"
1437,1585,"5B","5B"
1439,1471,"5B","5B"
1451,1563,"5A","5B"
1452,1498,"5A","5A"
1486,1511,"5B","5A"
1498,1592,"5A","5B"
1558,1564,"3B","3B"
1564,1574,"3B","3B"
1613,1628,"2A","2A"
1617,1641,"2A","2A"
1625,1902,"2A","2A"
1663,1698,"1B","1B"
1673,1688,"1B","1B"
1673,1745,"1B","Teachers"
